Route ID,Driver ID,Manifest,Delivery Duration (hours),Date,Fuel Price per Gallon (USD),Actual Distance (miles),Planned Distance (miles),Weather Conditions,Traffic Conditions,Driver Ratings,Customer Satisfaction,Delays (hours),Warehouse Storage Costs (USD),Truck Maintenance Costs (USD),Load Type,Load Weight (tons),Route Type,Truck Type,Driver Experience,Delivery Window,Truck Condition,Labor Costs (USD),Fuel Type,Toll Costs (USD),Parking Costs (USD),Time Idling (hours),Miles per Gallon,Calculated Fuel Cost (USD),Idle Cost (USD),Fuel Cost Per Mile,Total Operational Cost (USD),Weather Severity,Weather Severity Score
ATL/MIA,DY1663,3694559,1.24,2023-04-02,3.5,2427.48,2954.45,Heavy Rain,Heavy,1.15,Very Dissatisfied,1.87,71.48,576.7,Perishable,15.28,Urban,Flatbed,Senior,Afternoon,4,89.63,Gasoline,2.81,22.59,0.32,6.78,1252.41,0.56,0.52,1926.54,1,1
IAH/DEN,OI5949,7233171,4.87,2023-07-11,3.5,1067.95,1910.31,Heavy Rain,Moderate,3.72,Dissatisfied,3.01,167.99,1792.1,Perishable,11.92,Suburban,Box Truck,Senior,Overnight,4,126.29,Diesel,9.28,2.32,1.39,6.25,597.6,2.44,0.56,2571.74,1,1
BOS/BOS,ZM3241,5813486,9.34,2023-11-19,4.0,1265.97,805.24,Snow,Heavy,3.88,Very Dissatisfied,3.25,139.78,1122.68,Fragile,3.11,Suburban,Flatbed,Senior,Morning,1,188.01,Diesel,44.68,0.45,1.82,7.93,638.94,3.64,0.5,1950.17,1,1
CLE/DTW,OY2982,2330458,3.78,2023-06-30,4.0,288.63,2442.81,Clear,Moderate,2.72,Neutral,1.87,55.36,1990.77,Standard,3.88,Urban,Box Truck,Intermediate,Afternoon,2,139.37,Gasoline,4.23,6.69,0.27,6.31,183.02,0.54,0.63,2240.61,3,0
ATL/PHX,XK1448,2898237,1.71,2023-03-19,3.5,1621.52,667.42,Heavy Rain,Heavy,2.41,Neutral,0.92,165.9,1073.6,Perishable,5.98,Suburban,Box Truck,Senior,Morning,1,108.34,Diesel,13.53,18.95,0.5,6.37,890.8,0.88,0.55,2163.67,0,0
STL/STL,WA6238,2509236,9.4,2023-11-14,4.0,694.31,1405.48,Heavy Rain,Heavy,3.39,Satisfied,3.73,92.84,938.58,Standard,1.65,Interstate,Semi,Intermediate,Evening,1,186.78,Gasoline,26.76,5.11,1.92,7.11,390.46,3.84,0.56,1457.59,3,3
DCA/SEA,UW2908,1801440,3.21,2023-04-20,3.5,1506.79,2891.53,Fog,Heavy,4.41,Very Satisfied,4.19,87.43,982.2,Oversized,10.95,Interstate,Semi,Intermediate,Overnight,2,51.52,Gasoline,39.06,14.33,0.55,7.95,663.53,0.96,0.44,1787.51,2,2
SEA/SFO,CF2263,2194638,7.85,2023-07-08,4.5,2093.46,656.16,Heavy Rain,Heavy,3.69,Very Satisfied,4.37,101.52,1891.61,Oversized,1.2,Urban,Flatbed,Junior,Overnight,3,53.51,Gasoline,37.95,25.97,0.61,6.52,1445.9,1.36,0.69,3504.31,1,1
DFW/ORD,ZR2735,3879735,5.87,2023-08-31,4.5,2214.37,1937.83,Snow,Light,1.17,Neutral,2.52,57.67,1898.86,Standard,2.45,Interstate,Semi,Senior,Afternoon,5,190.04,Gasoline,19.53,4.33,1.65,6.11,1629.95,3.72,0.74,3614.05,2,2
SLC/JFK,PX2099,1710071,2.45,2023-04-03,3.5,2073.29,1052.13,Clear,Moderate,3.2,Neutral,4.2,80.33,1281.46,Oversized,18.77,Suburban,Box Truck,Junior,Overnight,2,105.57,Gasoline,39.21,19.81,0.15,6.84,1060.66,0.26,0.51,2481.74,1,0
CMH/BOS,CR2386,1711021,1.47,2023-05-15,4.0,1051.41,1602.01,Clear,Heavy,3.64,Neutral,3.97,170.19,843.64,Perishable,5.76,Urban,Flatbed,Senior,Evening,2,74.86,Gasoline,3.84,15.47,0.07,6.49,648.23,0.14,0.62,1681.51,3,0
ATL/BNA,ZI1785,9113996,8.72,2023-10-01,4.0,1271.34,718.29,Heavy Rain,Heavy,3.93,Very Satisfied,4.32,156.94,1924.26,Standard,0.81,Suburban,Flatbed,Senior,Morning,1,146.35,Diesel,24.26,8.19,0.45,7.23,703.44,0.91,0.55,2818.02,0,0
CLT/STL,BS7896,6264869,1.13,2023-04-29,4.5,1973.97,900.94,Fog,Heavy,1.26,Dissatisfied,2.24,186.25,1977.15,Standard,2.4,Interstate,Semi,Intermediate,Evening,5,96.38,Gasoline,40.47,14.66,1.37,7.28,1219.39,3.08,0.62,3441.0,3,3
ATL/BNA,WE2179,6809832,2.75,2023-07-29,3.5,1502.32,2568.39,Snow,Heavy,2.28,Dissatisfied,2.56,63.49,1678.02,Standard,11.42,Interstate,Box Truck,Junior,Overnight,1,184.03,Gasoline,24.88,19.52,1.44,6.99,751.8,2.51,0.5,2540.23,2,2
MSP/BOI,NV2276,7633876,8.37,2023-10-07,3.5,832.58,1141.76,Light Rain,Severe,1.89,Very Satisfied,2.89,133.71,1995.79,Standard,19.39,Suburban,Box Truck,Senior,Morning,4,177.99,Diesel,48.55,2.29,0.54,6.89,422.78,0.94,0.51,2604.07,0,0
STL/ORD,EC2760,7913079,2.02,2023-12-11,3.5,633.8,2786.56,Fog,Heavy,4.68,Neutral,3.0,158.65,1977.17,Fragile,13.66,Interstate,Semi,Intermediate,Evening,1,95.75,Diesel,3.03,23.1,0.1,6.15,360.96,0.18,0.57,2523.08,2,2
ATL/DCA,EZ5329,6764878,3.79,2023-11-21,4.5,1789.39,284.16,Clear,Light,4.41,Dissatisfied,2.14,97.47,1191.62,Perishable,13.13,Urban,Semi,Senior,Morning,5,137.14,Diesel,16.66,19.45,1.69,7.5,1073.11,3.8,0.6,2402.11,1,0
LAS/DEN,KR5601,4037878,3.42,2023-05-24,4.0,2354.46,2789.33,Clear,Light,2.51,Dissatisfied,4.76,65.06,721.51,Oversized,0.67,Suburban,Flatbed,Senior,Morning,3,152.53,Gasoline,21.16,23.06,0.4,6.17,1525.79,0.81,0.65,2357.38,3,0
CMH/LAX,BM6186,5685346,9.12,2023-11-06,4.0,1562.69,1689.17,Snow,Moderate,3.25,Satisfied,3.27,57.43,940.47,Oversized,8.43,Urban,Box Truck,Junior,Afternoon,5,135.97,Diesel,33.62,27.27,1.37,7.66,816.39,2.73,0.52,1877.92,0,0
DEN/ORD,UT1875,3474885,9.33,2023-02-05,3.5,1273.46,201.47,Fog,Heavy,3.6,Dissatisfied,1.98,79.33,1606.42,Oversized,13.12,Urban,Semi,Junior,Morning,2,128.84,Gasoline,32.82,5.8,0.08,7.15,623.33,0.14,0.49,2347.85,0,0
MIA/STL,RZ6918,6786328,4.29,2023-07-28,3.5,233.71,2940.61,Light Rain,Heavy,4.07,Very Satisfied,4.49,108.61,1347.97,Standard,1.46,Suburban,Flatbed,Senior,Overnight,2,140.35,Gasoline,18.35,22.06,0.02,6.43,127.17,0.04,0.54,1624.2,0,0
DCA/SLC,MJ3223,3274909,9.49,2023-12-02,4.0,2283.33,1728.17,Clear,Moderate,2.47,Neutral,1.99,153.38,1316.51,Oversized,16.19,Suburban,Semi,Intermediate,Evening,4,88.11,Diesel,36.09,11.88,1.67,7.89,1157.72,3.34,0.51,2678.92,1,0
ORD/SEA,GT4158,6824968,5.52,2023-03-25,4.5,1497.91,1056.28,Fog,Severe,3.6,Neutral,0.62,81.25,512.69,Perishable,19.86,Urban,Flatbed,Intermediate,Overnight,3,192.69,Gasoline,14.81,26.09,1.63,7.84,860.07,3.66,0.57,1498.57,2,2
CLE/ORD,OM6050,5550671,6.87,2023-12-29,4.0,942.76,1701.09,Snow,Moderate,3.3,Very Satisfied,3.88,199.1,904.23,Perishable,7.52,Interstate,Flatbed,Senior,Evening,4,96.01,Gasoline,21.54,7.84,1.95,6.4,589.26,3.89,0.63,1725.85,3,3
IAH/BNA,OT1474,9301435,5.29,2023-06-09,4.5,1967.91,1918.38,Heavy Rain,Light,4.54,Satisfied,3.07,77.77,1929.45,Fragile,14.99,Suburban,Flatbed,Junior,Overnight,1,167.81,Gasoline,31.9,14.11,0.57,6.59,1343.39,1.29,0.68,3397.92,2,2
SFO/ORD,EI3986,9805340,6.49,2023-05-06,4.0,1248.54,470.94,Clear,Light,1.81,Satisfied,4.95,185.41,1588.1,Fragile,5.81,Urban,Box Truck,Senior,Evening,4,98.25,Gasoline,12.55,9.34,1.54,6.4,780.71,3.08,0.63,2579.18,0,0
LAS/BNA,CM3022,1153073,6.88,2023-06-14,4.5,2983.47,1477.08,Heavy Rain,Light,4.17,Very Satisfied,1.05,95.39,1571.44,Perishable,17.82,Suburban,Semi,Intermediate,Afternoon,5,117.6,Diesel,49.65,25.58,0.78,7.72,1739.8,1.76,0.58,3483.63,2,2
DFW/SLC,BI9466,8085826,6.38,2023-12-16,3.5,1183.47,385.07,Snow,Light,2.14,Satisfied,4.34,95.86,1852.19,Oversized,4.01,Suburban,Box Truck,Senior,Afternoon,5,196.25,Gasoline,44.04,22.73,1.53,6.33,654.84,2.67,0.55,2672.33,1,1
SLC/STL,KC7942,8978316,5.59,2023-11-18,4.5,962.41,2003.44,Snow,Heavy,4.29,Satisfied,2.07,52.36,874.95,Fragile,12.46,Interstate,Box Truck,Intermediate,Afternoon,2,31.29,Diesel,4.43,16.17,0.89,6.34,683.28,2.0,0.71,1633.2,3,3
BOI/IAH,RI9147,2872443,7.72,2023-12-05,4.5,2632.88,1031.71,Heavy Rain,Light,2.72,Very Dissatisfied,4.95,79.35,968.91,Fragile,17.02,Suburban,Box Truck,Intermediate,Overnight,2,52.48,Gasoline,11.8,19.01,1.18,6.5,1823.43,2.66,0.69,2905.16,1,1
LAX/IAH,HQ2460,8272815,3.72,2023-02-03,4.5,2133.01,799.93,Light Rain,Moderate,1.1,Very Satisfied,4.92,117.34,734.51,Perishable,14.39,Suburban,Box Truck,Junior,Afternoon,1,89.16,Diesel,48.03,26.67,1.85,7.26,1322.3,4.16,0.62,2253.01,3,3
BOI/SAN,LA7439,3699726,4.06,2023-02-09,3.5,804.9,1820.62,Heavy Rain,Light,1.68,Very Dissatisfied,0.17,109.17,1296.36,Perishable,8.38,Urban,Box Truck,Senior,Evening,2,43.28,Diesel,25.53,20.8,1.0,6.65,423.9,1.75,0.53,1877.5,2,2
CMH/DTW,WT4276,2966320,5.31,2023-02-13,4.0,2284.16,2631.64,Fog,Severe,1.92,Neutral,3.7,183.7,973.32,Standard,9.05,Suburban,Box Truck,Intermediate,Overnight,4,176.56,Gasoline,7.95,10.54,1.9,7.19,1270.82,3.8,0.56,2450.12,2,2
MCO/ORD,AV8305,7671407,1.37,2023-10-27,3.5,2291.04,1923.23,Light Rain,Heavy,3.53,Very Satisfied,1.88,124.52,1473.2,Fragile,15.02,Urban,Box Truck,Senior,Morning,4,99.1,Gasoline,23.5,18.88,0.73,6.35,1263.71,1.28,0.55,2905.09,2,2
PHX/BOS,ZU7986,6019958,3.41,2023-09-28,4.0,2078.23,2011.88,Heavy Rain,Moderate,4.04,Dissatisfied,1.81,160.13,1130.85,Perishable,9.08,Interstate,Box Truck,Intermediate,Afternoon,3,111.09,Diesel,34.98,10.44,0.0,6.79,1223.47,0.0,0.59,2559.87,0,0
IAH/ORD,SH3528,6992824,8.17,2023-07-12,3.5,1898.27,2759.8,Snow,Light,2.99,Very Dissatisfied,0.44,145.25,1816.98,Oversized,10.34,Interstate,Flatbed,Senior,Morning,2,195.1,Gasoline,34.22,25.7,1.88,6.79,978.96,3.29,0.52,3004.4,1,1
IAH/PHX,ZW6394,1319247,6.88,2023-03-18,3.5,1938.49,1070.78,Light Rain,Severe,3.02,Dissatisfied,3.67,192.33,1583.86,Oversized,18.4,Interstate,Semi,Junior,Overnight,3,122.63,Gasoline,10.86,1.61,0.64,6.52,1041.39,1.12,0.54,2831.17,0,0
BOI/PHX,RI2757,3274644,8.85,2023-03-21,3.5,791.82,1222.57,Heavy Rain,Moderate,3.56,Neutral,0.02,139.78,585.08,Standard,4.27,Suburban,Semi,Senior,Overnight,3,109.27,Gasoline,16.74,24.55,1.96,6.1,454.38,3.44,0.57,1223.95,2,2
DEN/SFO,IY1345,6180722,3.58,2023-05-18,3.5,524.56,2235.31,Heavy Rain,Heavy,3.59,Neutral,4.91,129.26,1116.25,Fragile,10.58,Urban,Box Truck,Junior,Evening,2,23.59,Diesel,22.7,27.62,0.51,7.68,239.11,0.89,0.46,1535.83,1,1
CMH/LAS,JK8433,8508762,1.87,2023-11-15,4.0,1937.46,1171.93,Light Rain,Light,1.53,Very Satisfied,0.55,80.19,1905.23,Perishable,1.3,Urban,Box Truck,Intermediate,Afternoon,3,189.2,Gasoline,21.22,0.21,0.12,7.01,1105.27,0.25,0.57,3112.37,0,0
LAX/CLE,EO3209,3098926,3.2,2023-01-29,4.5,1862.29,1760.32,Snow,Moderate,2.3,Very Dissatisfied,2.06,78.44,1234.25,Perishable,1.85,Suburban,Flatbed,Senior,Afternoon,3,59.92,Diesel,19.79,6.85,0.62,6.16,1359.63,1.39,0.73,2700.35,1,1
DFW/SAN,CF5702,8215659,1.43,2023-08-21,4.5,2503.82,2074.51,Snow,Heavy,3.49,Very Satisfied,0.53,93.21,1898.14,Standard,16.35,Urban,Semi,Senior,Afternoon,1,71.74,Gasoline,32.76,3.18,1.46,7.77,1450.66,3.28,0.58,3481.22,3,3
STL/IAH,AT6205,7260164,5.97,2023-10-04,4.5,1700.8,1617.64,Clear,Moderate,2.07,Neutral,2.42,52.62,1808.04,Standard,6.38,Suburban,Semi,Junior,Morning,5,149.26,Diesel,32.96,8.89,1.66,6.34,1207.3,3.74,0.71,3113.55,1,0
SEA/BOS,TS3069,8364361,8.81,2023-08-29,3.5,507.6,807.14,Clear,Light,4.1,Very Satisfied,1.4,136.58,966.11,Oversized,17.24,Interstate,Semi,Junior,Evening,2,126.09,Diesel,10.67,14.82,1.29,7.61,233.44,2.26,0.46,1363.88,0,0
BOS/DCA,AL5944,9212478,4.77,2023-07-20,4.0,2557.52,501.46,Light Rain,Light,2.21,Neutral,3.5,64.93,832.02,Fragile,6.18,Urban,Flatbed,Senior,Overnight,3,157.96,Gasoline,36.58,11.61,0.53,7.79,1313.91,1.06,0.51,2260.1,2,2
DCA/DCA,DH7005,1525417,3.3,2023-06-05,3.5,336.6,493.67,Heavy Rain,Severe,1.58,Satisfied,4.32,83.56,1197.78,Standard,19.92,Suburban,Semi,Intermediate,Evening,5,34.0,Gasoline,29.41,11.21,1.04,6.68,176.43,1.82,0.52,1500.2,3,3
SEA/ORD,ZX4907,8133179,5.06,2023-11-23,4.0,2239.41,1386.24,Heavy Rain,Light,2.65,Dissatisfied,1.4,130.13,1296.78,Perishable,7.36,Interstate,Flatbed,Junior,Morning,2,181.86,Diesel,20.97,5.8,0.46,7.6,1178.07,0.93,0.53,2632.67,3,3
SAN/PHX,SE6669,6530463,3.51,2023-08-29,4.5,944.03,1592.21,Heavy Rain,Heavy,2.63,Dissatisfied,3.73,76.55,706.52,Standard,1.95,Interstate,Semi,Intermediate,Evening,1,173.88,Gasoline,25.71,28.42,0.86,7.89,538.4,1.93,0.57,1377.53,3,3
DFW/BOS,NU4861,7505316,8.93,2023-05-23,3.5,2524.61,432.03,Heavy Rain,Severe,1.95,Very Satisfied,1.71,160.32,1541.81,Fragile,16.91,Urban,Box Truck,Junior,Morning,3,147.29,Diesel,34.02,18.25,0.92,6.18,1429.9,1.61,0.57,3185.9,1,1
PHX/LAS,AR5288,9002466,9.88,2023-04-23,4.0,326.01,559.25,Fog,Severe,3.79,Neutral,2.14,123.92,1776.57,Fragile,16.97,Urban,Box Truck,Junior,Evening,4,78.18,Gasoline,27.55,24.25,1.89,7.68,169.78,3.79,0.52,2125.86,1,1
CLE/SEA,NM4404,3743040,9.61,2023-06-24,4.0,1800.28,1503.25,Light Rain,Severe,2.35,Neutral,4.87,136.92,1816.63,Standard,7.19,Suburban,Box Truck,Junior,Overnight,5,158.53,Diesel,4.91,9.28,1.6,7.71,933.47,3.19,0.52,2904.39,0,0
STL/SLC,PK5210,1163012,3.69,2023-04-02,4.5,2495.94,2847.46,Fog,Heavy,2.33,Dissatisfied,3.73,82.34,544.07,Oversized,4.08,Suburban,Box Truck,Intermediate,Morning,2,147.81,Gasoline,3.45,26.88,1.69,7.11,1579.23,3.81,0.63,2239.78,2,2
JFK/JFK,YL8024,4252135,1.88,2023-08-17,4.0,2903.04,397.63,Heavy Rain,Heavy,4.24,Satisfied,4.62,182.95,1028.88,Fragile,16.47,Suburban,Flatbed,Senior,Afternoon,3,163.34,Gasoline,0.79,19.17,0.75,7.61,1526.02,1.51,0.53,2759.32,2,2
SEA/MCO,UO2845,7110377,4.83,2023-09-09,4.5,2081.12,1393.29,Heavy Rain,Severe,2.24,Neutral,2.39,185.43,1696.01,Fragile,14.32,Interstate,Box Truck,Intermediate,Overnight,3,53.87,Gasoline,43.46,4.22,0.92,7.85,1193.66,2.06,0.57,3124.84,3,3
BOS/IAH,OT2915,9128911,6.61,2023-10-14,4.0,2738.15,2000.51,Light Rain,Light,3.09,Dissatisfied,2.31,189.7,822.95,Standard,16.02,Urban,Semi,Senior,Evening,2,51.54,Gasoline,9.66,23.44,1.8,6.17,1775.07,3.61,0.65,2824.42,1,1
MSP/MCO,HF5235,5924865,5.55,2023-04-24,3.5,244.28,2515.78,Fog,Moderate,4.35,Neutral,4.56,55.41,1918.28,Perishable,4.78,Interstate,Flatbed,Senior,Afternoon,1,163.93,Diesel,8.66,8.48,0.52,7.95,107.51,0.9,0.44,2099.24,3,3
DFW/BOI,GW7892,9473046,5.26,2023-03-11,3.5,1480.59,344.73,Clear,Moderate,1.34,Very Satisfied,4.68,165.83,896.42,Oversized,19.4,Suburban,Semi,Senior,Morning,5,81.15,Diesel,3.02,5.65,1.95,7.72,671.1,3.41,0.45,1745.43,1,0
BOS/DFW,KA5067,6298236,2.03,2023-12-05,3.5,2086.66,642.74,Fog,Heavy,4.4,Very Dissatisfied,4.8,138.51,1171.91,Standard,9.21,Urban,Semi,Intermediate,Evening,5,137.74,Gasoline,31.09,6.07,0.04,7.09,1030.75,0.07,0.49,2378.42,3,3
MCO/MIA,TB1066,1722704,5.51,2023-10-23,3.5,2970.56,2257.11,Clear,Heavy,2.46,Neutral,4.31,54.06,1829.54,Oversized,14.02,Urban,Semi,Junior,Evening,1,124.57,Diesel,9.88,7.21,0.65,6.94,1498.42,1.14,0.5,3400.26,2,0
ATL/CLT,KU4938,1936426,7.94,2023-11-27,3.5,2768.2,1523.25,Snow,Moderate,4.19,Very Satisfied,3.15,89.35,1879.95,Fragile,8.89,Urban,Box Truck,Intermediate,Overnight,3,42.46,Gasoline,24.28,11.05,0.11,6.2,1563.57,0.19,0.56,3568.39,0,0
IAH/STL,FL4812,9521945,1.42,2023-09-16,4.5,1945.61,2421.39,Clear,Moderate,1.24,Very Satisfied,3.51,116.25,1319.22,Oversized,2.8,Suburban,Box Truck,Intermediate,Morning,3,131.69,Gasoline,3.96,7.34,0.7,6.01,1457.49,1.57,0.75,2905.83,1,0
MIA/SFO,GH2700,2496997,5.99,2023-04-09,4.0,2920.62,1057.19,Snow,Heavy,1.62,Satisfied,2.43,192.91,1044.19,Oversized,19.55,Urban,Semi,Junior,Afternoon,5,176.89,Diesel,30.53,3.42,0.28,7.13,1637.42,0.55,0.56,2909.03,2,2
MSP/IAH,PD7319,1359252,6.82,2023-06-15,3.5,109.74,1382.49,Heavy Rain,Light,2.1,Dissatisfied,0.02,140.39,1234.99,Perishable,9.24,Interstate,Semi,Junior,Evening,3,35.73,Gasoline,44.9,21.23,1.25,6.39,60.13,2.18,0.55,1503.81,2,2
CMH/STL,QW8409,2034826,6.65,2023-07-24,3.5,1660.3,1494.16,Heavy Rain,Severe,4.61,Very Dissatisfied,2.49,122.6,1833.47,Perishable,3.18,Suburban,Box Truck,Intermediate,Evening,1,20.93,Diesel,38.03,4.57,1.3,7.86,739.36,2.27,0.45,2740.3,0,0
CLT/BOI,HS3522,4738517,4.44,2023-05-13,4.5,1707.38,1654.49,Fog,Moderate,4.83,Very Dissatisfied,1.48,132.6,834.64,Perishable,19.91,Suburban,Box Truck,Senior,Afternoon,3,95.69,Gasoline,6.86,8.13,1.72,6.96,1104.14,3.86,0.65,2090.23,2,2
LAS/DFW,XB5352,5672471,6.0,2023-12-07,3.5,1534.52,323.4,Heavy Rain,Heavy,1.97,Neutral,4.89,103.45,513.03,Perishable,18.61,Suburban,Box Truck,Senior,Morning,3,123.93,Gasoline,5.66,8.54,1.54,7.92,677.98,2.69,0.44,1311.35,1,1
SLC/CLE,XM6028,7150519,4.16,2023-01-31,4.0,2589.9,140.76,Clear,Heavy,4.0,Very Satisfied,0.93,134.22,1031.69,Perishable,9.5,Urban,Semi,Intermediate,Afternoon,1,97.76,Gasoline,38.46,0.46,0.17,6.28,1649.6,0.34,0.64,2854.77,0,0
BOI/LAX,SU2367,8935356,4.9,2023-08-09,3.5,2604.1,2628.08,Light Rain,Severe,4.99,Satisfied,3.97,187.79,983.91,Fragile,9.2,Suburban,Box Truck,Senior,Evening,4,180.99,Diesel,8.94,3.43,0.07,6.62,1377.73,0.12,0.53,2561.92,1,1
CLE/CLT,CI3937,1401873,5.88,2023-12-10,4.0,216.15,1322.8,Clear,Heavy,2.43,Very Dissatisfied,1.7,137.06,942.57,Perishable,6.12,Suburban,Box Truck,Junior,Afternoon,5,130.4,Diesel,33.9,23.97,0.8,6.46,133.78,1.6,0.62,1272.89,1,0
BOI/MIA,SS9920,4059274,9.51,2023-01-06,3.5,1680.99,2849.41,Snow,Light,3.39,Satisfied,4.63,177.8,1670.46,Standard,4.04,Suburban,Box Truck,Senior,Morning,1,52.0,Gasoline,11.77,21.95,0.29,6.2,949.09,0.51,0.56,2831.57,2,2
DCA/DCA,SG4618,1290775,8.67,2023-05-27,3.5,206.26,2676.87,Light Rain,Severe,1.68,Satisfied,2.19,91.56,1679.36,Standard,13.15,Suburban,Box Truck,Senior,Morning,4,194.88,Gasoline,39.51,22.89,1.36,6.29,114.74,2.37,0.56,1950.43,1,1
BOI/BOS,GV3838,1565057,8.35,2023-02-26,3.5,2062.39,2751.47,Heavy Rain,Severe,2.67,Neutral,4.84,134.9,1976.99,Standard,18.34,Urban,Semi,Intermediate,Morning,3,145.17,Diesel,48.81,23.53,1.46,7.43,971.61,2.56,0.47,3158.4,2,2
PHX/CLT,CY3213,1400550,2.7,2023-01-09,4.5,955.52,1983.07,Light Rain,Moderate,3.08,Neutral,3.42,184.22,651.7,Fragile,2.53,Urban,Box Truck,Senior,Evening,4,82.02,Gasoline,14.27,12.21,0.96,7.94,541.66,2.17,0.57,1406.21,2,2
DEN/MIA,NW2811,8476706,6.65,2023-04-23,4.5,826.68,1617.42,Light Rain,Moderate,2.71,Satisfied,4.42,180.81,1839.06,Standard,16.88,Suburban,Semi,Intermediate,Evening,5,39.89,Gasoline,33.9,25.9,1.63,6.49,573.08,3.67,0.69,2656.42,0,0
BOI/DEN,QF7036,7334243,7.44,2023-11-22,4.5,2027.27,597.18,Light Rain,Heavy,3.05,Neutral,3.68,93.27,1559.86,Oversized,15.19,Interstate,Flatbed,Senior,Overnight,2,168.32,Gasoline,25.44,12.91,0.74,7.59,1201.43,1.66,0.59,2894.56,0,0
IAH/SEA,LM6150,3088078,1.53,2023-08-25,3.5,1097.15,1708.53,Fog,Severe,3.7,Very Dissatisfied,3.36,164.06,1014.41,Oversized,17.1,Interstate,Semi,Intermediate,Evening,5,69.5,Diesel,30.5,6.2,1.44,6.53,588.06,2.52,0.54,1805.74,0,0
SFO/CMH,JB9059,3843448,9.2,2023-11-28,4.5,2685.18,2481.31,Snow,Light,1.74,Neutral,0.85,104.86,1892.31,Standard,19.9,Urban,Box Truck,Intermediate,Overnight,1,92.18,Gasoline,40.25,22.48,0.02,7.69,1570.41,0.04,0.58,3630.35,0,0
DTW/ATL,CC3647,3976158,8.44,2023-12-22,4.5,663.6,1428.53,Clear,Heavy,4.85,Dissatisfied,0.18,90.68,1596.25,Oversized,19.43,Interstate,Flatbed,Junior,Evening,3,93.92,Diesel,41.43,24.72,0.67,7.94,376.13,1.52,0.57,2130.72,0,0
CMH/IAH,UP3819,2878881,7.9,2023-03-04,4.0,164.9,139.71,Clear,Light,2.69,Neutral,4.63,112.42,1882.46,Oversized,12.83,Suburban,Box Truck,Senior,Overnight,4,142.33,Gasoline,3.14,19.24,1.18,6.59,100.06,2.36,0.61,2119.69,3,0
DFW/LAX,AE3813,8308653,2.27,2023-10-05,4.5,2351.39,1946.25,Clear,Severe,2.66,Neutral,0.08,50.82,1184.76,Standard,8.17,Urban,Semi,Senior,Evening,2,108.63,Gasoline,17.82,15.22,0.82,6.2,1706.79,1.83,0.73,2977.25,3,0
MSP/SEA,VV5196,4624980,6.46,2023-03-31,4.5,2008.46,182.21,Heavy Rain,Moderate,1.63,Very Satisfied,0.07,169.7,1188.76,Perishable,9.49,Urban,Flatbed,Senior,Morning,5,28.8,Gasoline,5.48,28.81,0.25,6.85,1320.37,0.57,0.66,2713.69,0,0
MIA/BNA,RE6785,5239504,5.1,2023-10-22,3.5,790.77,2080.08,Snow,Light,4.14,Very Dissatisfied,4.55,78.8,615.42,Perishable,17.81,Suburban,Semi,Senior,Overnight,5,91.29,Gasoline,3.71,2.18,0.61,7.52,367.92,1.07,0.47,1069.11,1,1
CLT/SAN,NH5990,8808606,4.31,2023-03-29,3.5,2942.45,2052.75,Snow,Severe,4.27,Satisfied,2.78,175.03,708.94,Perishable,1.59,Suburban,Semi,Intermediate,Morning,1,192.91,Diesel,29.61,21.51,1.87,7.52,1369.47,3.27,0.47,2307.84,2,2
LAS/DCA,LY9978,1195986,1.25,2023-12-14,3.5,1562.08,1753.99,Heavy Rain,Severe,1.4,Dissatisfied,2.76,86.3,1839.26,Fragile,18.8,Interstate,Flatbed,Senior,Afternoon,3,113.13,Diesel,26.43,29.4,0.47,7.2,759.21,0.82,0.49,2741.42,2,2
PHX/STL,TW7811,1029878,5.0,2023-12-05,3.5,1701.04,2764.95,Fog,Light,4.86,Satisfied,2.67,133.14,1563.87,Oversized,16.82,Interstate,Flatbed,Senior,Overnight,5,82.65,Gasoline,7.48,18.2,0.66,7.52,791.49,1.15,0.47,2515.33,2,2
CLE/SLC,JL6633,4544691,3.82,2023-10-29,3.5,2845.01,1303.53,Clear,Light,1.61,Neutral,1.08,74.31,1996.3,Oversized,11.73,Interstate,Semi,Junior,Evening,3,144.72,Diesel,30.13,19.68,0.14,6.21,1604.36,0.24,0.56,3725.01,1,0
PHX/ORD,KC4278,4411763,9.69,2023-06-18,4.5,122.56,544.79,Clear,Severe,2.98,Dissatisfied,2.48,133.18,979.41,Oversized,8.25,Interstate,Semi,Junior,Overnight,4,160.09,Gasoline,45.75,19.64,0.04,7.51,73.45,0.09,0.6,1251.51,0,0
MCO/DFW,WR4934,4721736,3.01,2023-12-29,3.5,1822.69,1129.19,Fog,Severe,2.54,Satisfied,4.13,116.42,1130.21,Oversized,6.96,Interstate,Box Truck,Senior,Evening,1,113.54,Gasoline,16.38,0.4,0.16,7.19,886.89,0.29,0.49,2150.59,3,3
SLC/PHX,BS4145,3792012,3.95,2023-12-31,4.0,860.29,2581.83,Snow,Light,3.23,Neutral,2.44,84.6,671.51,Standard,4.39,Urban,Flatbed,Junior,Morning,1,156.28,Diesel,0.96,9.05,0.76,6.72,512.26,1.51,0.6,1279.9,2,2
DEN/STL,EV5076,8986463,1.34,2023-10-09,4.5,2819.48,900.39,Clear,Severe,2.6,Neutral,2.07,197.68,1385.72,Perishable,15.69,Interstate,Box Truck,Intermediate,Morning,4,122.9,Diesel,33.14,6.04,0.55,6.3,2012.57,1.24,0.71,3636.38,1,0
